jis_code,prefecture,city_name,parent_city,canonical_name
01100,北海道,札幌市,,札幌市
01101,北海道,中央区,札幌市,札幌市中央区
01102,北海道,北区,札幌市,札幌市北区
01103,北海道,東区,札幌市,札幌市東区
01104,北海道,白石区,札幌市,札幌市白石区
01105,北海道,豊平区,札幌市,札幌市豊平区
01106,北海道,南区,札幌市,札幌市南区
01107,北海道,西区,札幌市,札幌市西区
01108,北海道,厚別区,札幌市,札幌市厚別区
01109,北海道,手稲区,札幌市,札幌市手稲区
01110,北海道,清田区,札幌市,札幌市清田区
01202,北海道,函館市,,函館市
01203,北海道,小樽市,,小樽市
01204,北海道,旭川市,,旭川市
01205,北海道,室蘭市,,室蘭市
01206,北海道,釧路市,,釧路市
01207,北海道,帯広市,,帯広市
01208,北海道,北見市,,北見市
01209,北海道,夕張市,,夕張市
01210,北海道,岩見沢市,,岩見沢市
01211,北海道,網走市,,網走市
01212,北海道,留萌市,,留萌市
01213,北海道,苫小牧市,,苫小牧市
01214,北海道,稚内市,,稚内市
01215,北海道,美唄市,,美唄市
01216,北海道,芦別市,,芦別市
01217,北海道,江別市,,江別市
01218,北海道,赤平市,,赤平市
01219,北海道,紋別市,,紋別市
01220,北海道,士別市,,士別市
01221,北海道,名寄市,,名寄市
01222,北海道,三笠市,,三笠市
01223,北海道,根室市,,根室市
01224,北海道,千歳市,,千歳市
01225,北海道,滝川市,,滝川市
01226,北海道,砂川市,,砂川市
01227,北海道,歌志内市,,歌志内市
01228,北海道,深川市,,深川市
01229,北海道,富良野市,,富良野市
01230,北海道,登別市,,登別市
01231,北海道,恵庭市,,恵庭市
01233,北海道,伊達市,,伊達市
01234,北海道,北広島市,,北広島市
01235,北海道,石狩市,,石狩市
01236,北海道,北斗市,,北斗市
01303,北海道,当別町,,当別町
01304,北海道,新篠津村,,新篠津村
01331,北海道,松前町,,松前町
01332,北海道,福島町,,福島町
01333,北海道,知内町,,知内町
01334,北海道,木古内町,,木古内町
01337,北海道,七飯町,,七飯町
01343,北海道,鹿部町,,鹿部町
01345,北海道,森町,,森町
01346,北海道,八雲町,,八雲町
01347,北海道,長万部町,,長万部町
01361,北海道,江差町,,江差町
01362,北海道,上ノ国町,,上ノ国町
01363,北海道,厚沢部町,,厚沢部町
01364,北海道,乙部町,,乙部町
01367,北海道,奥尻町,,奥尻町
