normalized_key,level,hazard_type,area_ratio,rank_avg,rank_max,source,acquired_on
千葉県いすみ市万木,chome,landslide,0.0269,0.0344,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市上布施,chome,landslide,0.0415,0.0534,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市下原,chome,landslide,0.0112,0.0149,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市下布施,chome,landslide,0.0657,0.0794,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市中原,chome,landslide,0.0221,0.0268,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市井沢,chome,landslide,0.1004,0.1226,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市今関,chome,landslide,0.0,0.0,0.0,mlit_a33-23,2026-09-05
千葉県いすみ市佐室,chome,landslide,0.0357,0.0477,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市作田,chome,landslide,0.1023,0.1209,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市八乙女,chome,landslide,0.1888,0.239,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市和泉,chome,landslide,0.0924,0.1169,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市嘉谷,chome,landslide,0.0991,0.1238,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市国府台,chome,landslide,0.0208,0.0263,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市増田,chome,landslide,0.0134,0.0154,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市大原,chome,landslide,0.1296,0.1588,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市大原台,chome,landslide,0.0057,0.0073,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市大野,chome,landslide,0.0164,0.0197,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市小又井,chome,landslide,0.1854,0.2306,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市小池,chome,landslide,0.1297,0.1629,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市小沢,chome,landslide,0.1201,0.1461,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市小高,chome,landslide,0.1425,0.1788,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市山田,chome,landslide,0.0435,0.0528,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市岩熊,chome,landslide,0.1438,0.1779,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市岩船,chome,landslide,0.2505,0.2946,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市島,chome,landslide,0.0127,0.0157,2.0,mlit_a33-23,2026-09-05
千葉県いすみ市市野々,chome,landslide,0.1208,0.1524,2.0,mlit_a33-23,2026-09-05
